2.339255651,2.357022604,2.108185107,,,,,,,,,,,,,,,,,,,
3.073181486,2.687419249,2.236067977,,,,,,,,,,,,,,,,,,,
3.032141656,2.575798089,1.957737974,,,,,,,,,,,,,,,,,,,
3.018461713,2.374442777,1.943650632,,,,,,,,,,,,,,,,,,,
2.727564749,2.426703296,1.723518612,,,,,,,,,,,,,,,,,,,
2.538591035,2.426703296,1.723518612,,,,,,,,,,,,,,,,,,,
2.357022604,2.357022604,1.699673171,,,,noQ,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,,min,increase,%
2.357022604,2.266306634,1.699673171,,,1,2.339255651,3.073181486,3.032141656,3.018461713,2.727564749,2.538591035,2.357022604,2.357022604,2.357022604,2.236067977,2.266306634,2.266306634,,2.236067977,0.103187674,4.41%
2.357022604,2.054284319,1.699673171,,,2,2.357022604,2.687419249,2.575798089,2.374442777,2.426703296,2.426703296,2.357022604,2.266306634,2.054284319,2.02758751,2.02758751,2.236067977,,2.02758751,0.329435094,13.98%
2.236067977,2.02758751,1.699673171,,,3,2.108185107,2.236067977,1.957737974,1.943650632,1.723518612,1.723518612,1.699673171,1.699673171,1.699673171,1.699673171,1.699673171,1.699673171,,1.699673171,0.408511936,19.38%
2.266306634,2.02758751,1.699673171,,,,,,,,,,,,,,,,,,,
2.266306634,2.236067977,1.699673171,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,week,noQ,haveQ,increase,Percentage increase,
,,,,,,,,,,,,,,,,1,2.339 ,2.236 ,0.103 ,4.41%,
,,,,,,,,,,,,,,,,2,2.357 ,2.028 ,0.329 ,13.98%,
,,,,,,,,,,,,,,,,3,2.108 ,1.700 ,0.409 ,19.38%,
